title,authors,publisher,publishedDate,description,genre,pageCount,averageRating,review_count,price,currency,language,popularity_score
Coyote was Here,Bo Schöler,Unknown,1984,Unknown,American literature,190.0,0.0,0.0,0.0,Unknown,en,0.0
The Novel in Modern India,Iqbal Bakhtiyar,Unknown,1964,Unknown,Fiction,148.0,0.0,0.0,0.0,Unknown,en,0.0
Reckless Ralph's Dime Novel Round-up,,Unknown,1938,Unknown,Dime novels,438.0,0.0,0.0,0.0,Unknown,en,0.0
Economic and Political Weekly,,Unknown,1998-04,Unknown,India,994.0,0.0,0.0,0.0,Unknown,en,0.0
The States,,Unknown,1971,Unknown,India,1386.0,0.0,0.0,0.0,Unknown,en,0.0
Books Abroad,Roy Temple House,Unknown,1963,Unknown,Bibliography,534.0,0.0,0.0,0.0,Unknown,en,0.0
Encyclopedia of World Literature in the 20th Century: E-K,Steven Serafin,Unknown,1999,"Contains articles that provide information about major authors and aspects of twentieth-century world literature, arranged alphabetically from E-to-K.","Literature, Modern",752.0,0.0,0.0,0.0,Unknown,en,0.0
Guide to Indian Periodical Literature,,Unknown,1989,Unknown,Humanities,884.0,0.0,0.0,0.0,Unknown,en,0.0
The New Encyclopædia Britannica,,Unknown,1981,Unknown,Encyclopedias and dictionaries,1126.0,0.0,0.0,0.0,Unknown,en,0.0
Jamaica Journal,,Unknown,1969,Unknown,Jamaica,534.0,0.0,0.0,0.0,Unknown,en,0.0
Other Destinies,Louis Owens,University of Oklahoma Press,1994,"This first book-length critical analysis of the full range of novels written between 1854 and today by American Indian authors takes as its theme the search for self-discovery and cultural recovery. In his introduction, Louis Owens places the novels in context by considering their relationships to traditional American Indian oral literature as well as their differences from mainstream Euroamerican literature. In the following chapters he looks at the novels of John Rollin Ridge, Mourning Dove, John Joseph Mathews, D'Arcy McNickle, N. Scott Momaday, James Welch, Leslie Marmon Silko, Louise Erdrich, Michael Dorris, and Gerald Vizenor. These authors are mixedbloods who, in their writing, try to come to terms with the marginalization both of mixed-bloods and fullbloods and of their cultures in American society. Their novels are complex and sophisticated narratives of cultural survival - and survival guides for fullbloods and mixedbloods in modern America. Rejecting the stereotypes and cliches long attached to the word Indian, they appropriate and adapt the colonizers language, English, to describe the Indian experience. These novels embody the American Indian point of view; the non-Indian is required to assume the role of ""other"". In his analysis Owens draws on a broad range of literary theory: myth and folklore, structuralism, modernism, poststructuralism, and, particularly, postmodernism. At the same time he argues that although recent American Indian fiction incorporates a number of significant elements often identified with postmodern writing, it contradicts the primary impulse of postmodernism. That is, instead of celebrating fragmentation, ephemerality, and chaos, these authors insistupon a cultural center that is intact and recoverable, upon immutable values and ecological truths. Other Destinies provides a new critical approach to novels by American Indians. It also offers a comprehensive introduction to the novels, helping teachers bring this important fiction to the classroom.",Literary Criticism,306.0,0.0,0.0,0.0,Unknown,en,0.0
Children's Catalog,H.W. Wilson Company,Unknown,1917,The 1st ed. includes an index to v. 28-36 of St. Nicholas.,Children's literature,560.0,0.0,0.0,0.0,Unknown,en,0.0
Myth and History in Contemporary Indian Novel in English,A. Sudhakar Rao,Atlantic Publishers & Dist,2000,"Myth-History Combine Marks The Ruling Motive Of The Contemporary Indian Novel In English.In Amitav Ghosh S The Circle Of Reason, Reason Makes A Full Circle And Is Subjected To Subversion Towards The End With A Post-Modern Ambivalence.In The Great Indian Novel, Shashi Tharoor Is Given To Gigantism Of History And Makes Great Political Personages Parade On The Dice Game Of National Politics, As A Part Of Post-Colonial Discourse. Salman Rushdie S Midnight S Children Is An Enabling Text . The Text Synchronises The Individual History With National History Lending It A Universal Significance.The Texts Seek To Picture The Socio-Political Situation Of Post-Independence India With A Post-Modern Urgency.",History in literature,232.0,0.0,0.0,0.0,Unknown,en,0.0
Genres of Modernity,Dirk Wiemann,Rodopi,2008,"Genres of Modernity maps the conjunctures of critical theory and literary production in contemporary India. The volume situates a sample of representative novels in the discursive environment of the ongoing critical debate on modernity in India, and offers for the first time a rigorous attempt to hold together the stimulating impulses of postcolonial theory, subaltern studies and the boom of Indian fiction in English. In opposition to the entrenched narrative of modernity as a single, universally valid formation originating in the West, the theoretical and literary texts under discussion engage in a shared project of refiguring the present as a site of heterogeneous genres of modernity. The book traces these figurative efforts with particular attention to the treatment of two privileged metonymies of modernity: the issues of time and home in Indian fiction. Combining close readings of literary texts from Salman Rushdie to Kiran Nagarkar with a wide range of philosophical, sociological and historiographic reflections, Genres of Modernity is of interest not only for students of postcolonial literatures but for academics in the fields of Cultural Studies at large.",History,345.0,0.0,0.0,0.0,Unknown,en,0.0
The Encyclopedia Americana: Heart-India,,Unknown,2001,Unknown,Encyclopedias and dictionaries,1050.0,0.0,0.0,0.0,Unknown,en,0.0
Social Types in Southern Prose Fiction ...,Marion Clifford Harrison,Unknown,1921,Unknown,American fiction,330.0,0.0,0.0,0.0,Unknown,en,0.0
India International Centre Quarterly,India International Centre,Unknown,2004,Unknown,India,714.0,0.0,0.0,0.0,Unknown,en,0.0
Caribbean Quarterly,,Unknown,1949,Unknown,Caribbean Area,704.0,0.0,0.0,0.0,Unknown,en,0.0
Pacific Medical Journal,,Unknown,1903,Unknown,Medicine,894.0,0.0,0.0,0.0,Unknown,en,0.0
Who's who in Canadian Literature,,Unknown,1997,Unknown,"Authors, Canadian",380.0,0.0,0.0,0.0,Unknown,en,0.0
The Reporter,Max Ascoli,Unknown,1956,Unknown,American periodicals,678.0,0.0,0.0,0.0,Unknown,en,0.0
American Literature Abstracts,,Unknown,1967,Unknown,American literature,862.0,0.0,0.0,0.0,Unknown,en,0.0
Red Earth and Pouring Rain,Vikram Chandra,Faber & Faber,2011-04-07,"The gods of poetry and death descend on a house in India to vie for the soul of a wounded monkey. A bargain is struck: the monkey must tell a story, and if he can keep his audience entertained, he shall live. The result is Red Earth and Pouring Rain, Vikram Chandra's astonishing, vibrant novel. Interweaving tales of nineteenth-century India with modern America, it stands in the tradition of The Thousand and One Nights, a work of vivid imagination and a celebration of the power of storytelling itself. 'A dazzling first novel written with such originality and intensity as to be not merely drawing on myth but making it.' Sunday Times",Fiction,675.0,0.0,0.0,0.0,Unknown,en,0.0
The Twice Born Fiction,Meenakshi Mukherjee,Unknown,1974,Unknown,Indic fiction (English),248.0,0.0,0.0,0.0,Unknown,en,0.0
Postcolonial Environments,U. Mukherjee,Unknown,2010,"Postcolonial Environments examines the relationship between contemporary environmental crises and culture by offering a series of provocative readings of key Indian novels in English, making an original and important contribution to the emerging theories of 'green postcolonialism'.",Asia,212.0,0.0,0.0,0.0,Unknown,en,0.0
Migrant Modernism,J. Dillon Brown,University of Virginia Press,2013-04-29,"In Migrant Modernism, J. Dillon Brown examines the intersection between British literary modernism and the foundational West Indian novels that emerged in London after World War II. By emphasizing the location in which anglophone Caribbean writers such as George Lamming, V. S. Naipaul, and Samuel Selvon produced and published their work, Brown reveals a dynamic convergence between modernism and postcolonial literature that has often been ignored. Modernist techniques not only provided a way for these writers to mark their difference from the aggressively English, literalist aesthetic that dominated postwar literature in London but also served as a self-critical medium through which to treat themes of nationalism, cultural inheritance, and identity.",Literary Criticism,399.0,0.0,0.0,32.0,USD,en,0.0
Anancy in the Great House,Joyce Jonas,Praeger,1990-08-24,"This interdisciplinary study combines concepts of symbolic anthropology with traditional literary criticism to survey six novels by the Caribbean authors George Lamming and Wilson Harris. The author uses the West Indian icons of the Great House and Anancy to explore the conflict between oral and written communication and between folk culture and imperialist domination. The book's three essays discuss the collision of folk and imperialist cultures, the figure of the artist-in-the-text, and the anthropological concept of liminality as it applies to all types of oppressive exploitation. With its subtle literary readings and its philosophical commentary, this volume will be a significant resource.",Literary Criticism,176.0,0.0,0.0,0.0,Unknown,en,0.0
Indian Popular Fiction,,Unknown,2021,Unknown,,247.0,0.0,0.0,0.0,Unknown,en,0.0
Realism and Reality,Meenakshi Mukherjee,Delhi ; New York : Oxford University Press,1985,Unknown,History,240.0,0.0,0.0,0.0,Unknown,en,0.0
The French and Indian War Novels,Joseph A. Altsheler,Unknown,2008-12,"The French and Indian War-the collision between Britain, its provincial troops and Indian allies against France and its own allies during the eighteenth century in America is fascinating to many students of the period. It gave rise to famous characters such as Robert Rogers of the Rangers who have found their way into literature and the cinema. Of course, the famous Hawkeye and the novel 'The Last of the Mohicans' which takes place within real historical events of the time has also become an American classic. Author Joseph Altsheler has taken this well loved subject for a series of novels of high adventure. In these six novels the chronology of the war, which of course includes many of its true life characters, is told through the adventures of its principal characters. Young Robert Lennox, the hunter Willet-also known as the Great Bear and his Indian companion Tayoga travel through intrigues, dangers, battles and many trials and setbacks as the story unfolds. Leonaur has brought the entire collection together in substantial three volumes. In this first volume are 'The Hunters of the Hills' & 'The Shadow of the North.'",Fiction,464.0,0.0,0.0,0.0,Unknown,en,0.0
A Passage to India,E M Forster,Unknown,2020,"A Passage to India is set against the backdrop of the British Raj and the Indian independence movement in the 1920s. It was selected as one of the 100 great works of 20th century English literature by the Modern Library and won the 1924 James Tait Black Memorial Prize for fiction. Time magazine included the novel in its All Time 100 Novels list. The novel is based on Forster's experiences in India and the title is derived from Walt Whitman's 1870 poem ""Passage to India"" in Leaves of Grass. A Passage to India explores the common racial tensions and prejudices between Indians and the British who ruled India. One of the greatest novels every written.",,296.0,0.0,0.0,0.0,Unknown,en,0.0
Indian Fiction in English,Dorothy Mary Spencer,"Philadelphia, U. of Pennsylvania P",1960,Unknown,Fiction,112.0,0.0,0.0,0.0,Unknown,en,0.0
"English, August",Upamanyu Chatterjee,New York Review of Books,2006-04-04,"Agastya Sen, known to friends by the English name August, is a child of the Indian elite. His friends go to Yale and Harvard. August himself has just landed a prize government job. The job takes him to Madna, “the hottest town in India,” deep in the sticks. There he finds himself surrounded by incompetents and cranks, time wasters, bureaucrats, and crazies. What to do? Get stoned, shirk work, collapse in the heat, stare at the ceiling. Dealing with the locals turns out to be a lot easier for August than living with himself. English, August is a comic masterpiece from contemporary India. Like A Confederacy of Dunces and The Catcher in the Rye, it is both an inspired and hilarious satire and a timeless story of self-discovery.",Fiction,356.0,4.0,4.0,0.0,Unknown,en,16.0
Indian Novels in English,Chhote Lal Khatri,Unknown,2004-01-01,"Examines Critically 14 Novels. Papers In The Volumes Provide Scholarly Discussion And Insights. 3 Novelists Are Also Studied In Separate Papers-Kamala Markandaya-Shobha De And V.S. Naipaul. Useful For Students, Researchers And Those Interested In Indian Novels In English.",Indic fiction (English),184.0,0.0,0.0,0.0,Unknown,en,0.0
The Indian Agent,Dan O'Brien,U of Nebraska Press,2011-03-01,"Dan O'Brien's novel The Contract Surgeon introduced readers to Valentine McGillycuddy, a friend of the great war chief Crazy Horse. Through McGillycuddy's eyes, the novel recounted the friendship that so deeply impacted history. It also chronicled the great Sioux Wars, one of the most violent periods in this nation's history. After Crazy Horse's death, McGillycuddy went on to become the youngest agent in history for the Red Cloud Agency, renamed the Pine Ridge Indian Reservation, of the Oglala Lakota band of the Sioux. Although Red Cloud and McGillycuddy have diametrically opposing views, they have more in common than either suspects. They both love the land, and they both love the past. The politics and the enormous tensions of the early days on the reservation come to life here as McGillycuddy (known as ""the most investigated man"" in the government) urges the Sioux to adopt a life of farming. Because he had lived on the vast plains with them, no white man knew better what the Sioux had given up -- or understood more fully the impossibility of returning to the old life.",Fiction,0.0,0.0,0.0,0.0,Unknown,en,0.0
A Survey of Anglo-Indian Fiction,Bhupal Singh,Unknown,1934,Unknown,Anglo-Indian fiction,366.0,5.0,1.0,0.0,Unknown,en,5.0
The King's Indian,John Gardner,Open Road Media,2010-09-21,"DIV An iconic collection that showcases Gardner as a master craftsman navigating an uncertain world In this exceptional book, author John Gardner explores the literary form as a vehicle of vision, and creates heroes that personify his tremendous artistic ideals: A Boston schoolmaster abandons his dreams of owning a farmhouse in rural Illinois only to be taken on a voyage across the seas and into self-discovery, faith, and love; an artist’s rapturous enthusiasm inspires an aging university professor to approach life’s chaotic moments as opportunities for creation. Each of these stories is wonderful in its own right, and provides valuable insight into the author’s literary beliefs. Written just prior to his critical masterwork, On Moral Fiction, The King’s Indian is a must-read for those interested in learning more about Gardner’s highly controversial artistic philosophies. This ebook features a new illustrated biography of John Gardner, including original letters, rare photos, and never-before-seen documents from the Gardner family and the University of Rochester Archives. /div",Fiction,258.0,0.0,0.0,7.99,USD,en,0.0
